session_id,user_id,start_time,duration_seconds,device_type,os,referrer,conversion_status
sess_c933ba7d7e,user_000356,2025-01-15T08:45:28,2092,mobile,iOS,direct,abandoned
sess_07e5ccd141,user_000489,2025-01-17T03:39:14,2593,mobile,Android,whatsapp,abandoned
sess_dce68cccb6,user_000471,2025-01-03T10:04:47,1717,desktop,Windows,google_search,browsing
sess_ba47b04da0,user_000012,2025-02-08T23:51:55,2589,mobile,Android,google_search,abandoned
sess_b195b04290,user_000308,2025-02-28T17:56:00,2155,mobile,Android,facebook,abandoned
sess_0fc9c9e997,user_000427,2025-02-27T00:13:43,2509,mobile,iOS,google_search,browsing
sess_91ffa90cdb,user_000283,2025-02-17T15:08:50,232,desktop,Linux,word_of_mouth,abandoned
sess_195fdff299,user_000132,2025-01-16T19:27:41,2442,mobile,iOS,instagram,converted
sess_2b5d980afb,user_000144,2025-02-06T05:11:09,3249,desktop,macOS,instagram,abandoned
sess_c42a1815e4,user_000267,2025-03-16T03:17:33,1461,mobile,Android,whatsapp,converted
sess_0a620bb2ae,user_000046,2025-01-15T03:10:20,3524,tablet,Android,direct,abandoned
sess_6b951d7306,user_000344,2025-01-11T10:05:03,800,desktop,macOS,sms_campaign,abandoned
sess_98afb17826,user_000499,2025-03-23T15:52:55,1878,mobile,Android,google_search,browsing
sess_c1154bf962,user_000102,2025-02-27T18:21:33,3517,desktop,Windows,direct,abandoned
sess_09afeafd16,user_000309,2025-03-07T22:39:39,1399,mobile,Android,google_search,abandoned
sess_5b4d9c60be,user_000366,2025-02-07T18:37:23,2056,mobile,Android,google_search,browsing
sess_627256ea4c,user_000210,2025-02-04T02:31:00,291,tablet,iPadOS,instagram,browsing
sess_45155c9fac,user_000263,2025-03-29T12:26:13,1785,desktop,Windows,word_of_mouth,abandoned
sess_13d9afa543,user_000115,2025-03-02T15:21:32,3102,mobile,iOS,google_search,converted
sess_0e216d408c,user_000479,2025-03-03T22:28:34,2242,tablet,Android,direct,abandoned
sess_1221c08299,user_000331,2025-03-29T22:19:50,211,mobile,iOS,instagram,converted
sess_a2a98e7e0d,user_000340,2025-03-22T11:40:01,2437,tablet,Android,facebook,browsing
sess_9e06ae7499,user_000073,2025-01-11T08:53:40,777,mobile,Android,word_of_mouth,abandoned
sess_e493e5f65e,user_000350,2025-01-12T20:24:21,2250,mobile,Android,word_of_mouth,abandoned
sess_d613ee0a0e,user_000399,2025-02-17T17:43:30,1989,tablet,Android,whatsapp,browsing
sess_fc93b1af39,user_000205,2025-01-20T10:12:33,2633,desktop,macOS,word_of_mouth,browsing
sess_42d651a9bb,user_000376,2025-01-13T23:06:01,1127,mobile,Android,instagram,browsing
