transaction_id,user_id,timestamp,date,month,month_name,status,payment_method,product_id,product_name,quantity,unit_price_rwf,item_subtotal_rwf
txn_9273055802d4,user_000297,2025-01-30T05:45:40,2025-01-30,1,January,completed,bank_transfer,prod_00239,Calculator Casio,1,8555.59,8555.59
txn_9273055802d4,user_000297,2025-01-30T05:45:40,2025-01-30,1,January,completed,bank_transfer,prod_00206,Mutzig Beer,4,1131.46,4525.84
txn_9273055802d4,user_000297,2025-01-30T05:45:40,2025-01-30,1,January,completed,bank_transfer,prod_00093,Nivea Roll-On,4,13246.83,52987.32
txn_bed45b06d3c2,user_000070,2025-03-09T09:49:31,2025-03-09,3,March,processing,visa_card,prod_00019,Mattress Foam Single,1,9970.4,9970.4
txn_311d17c78827,user_000200,2025-03-30T20:32:34,2025-03-30,3,March,completed,mtn_momo,prod_00478,Akabanga Chilli Oil,3,3100.73,9302.19
txn_044437883d56,user_000123,2025-03-07T12:01:09,2025-03-07,3,March,shipped,visa_card,prod_00082,Agaseke Woven Basket,3,11682.8,35048.4
txn_044437883d56,user_000123,2025-03-07T12:01:09,2025-03-07,3,March,shipped,visa_card,prod_00352,Irish Potato 5kg,2,8694.74,17389.48
txn_044437883d56,user_000123,2025-03-07T12:01:09,2025-03-07,3,March,shipped,visa_card,prod_00307,Mosquito Net Treated,3,2993.76,8981.28
txn_201b2f314e88,user_000323,2025-03-17T12:20:21,2025-03-17,3,March,completed,mtn_momo,prod_00152,PVC Pipe 2inch,1,2727.03,2727.03
txn_5bd6c6b3e9c0,user_000180,2025-02-19T02:24:24,2025-02-19,2,February,refunded,airtel_money,prod_00472,Mosquito Net Treated,4,1593.06,6372.24
txn_dd0d2ab60f4f,user_000349,2025-03-21T06:50:13,2025-03-21,3,March,refunded,bank_transfer,prod_00376,Inyange Juice,1,17655.95,17655.95
txn_06e18c151fd7,user_000131,2025-03-26T08:33:09,2025-03-26,3,March,refunded,bank_transfer,prod_00327,Feature Phone Tecno,1,18662.23,18662.23
